Designator,Mid X,Mid Y,Rotation,Layer
C1,122.51,-74.39,180.0,top
D1,116.4675,-92.53,180.0,top
D2,119.28,-64.5,180.0,top
H1,106.475,-63.475,0.0,top
H2,178.0,-63.0,0.0,top
H3,106.0,-115.0,0.0,top
H4,178.0,-115.0,0.0,top
J1,155.52,-61.25,180.0,top
J2,165.23,-61.25,180.0,top
J3,179.2,-75.5275,90.0,top
J4,179.2,-85.0275,90.0,top
J5,179.25,-94.52,90.0,top
J6,145.98,-61.25,180.0,top
J7,179.2,-104.0275,90.0,top
J8,136.52,-61.25,180.0,top
LED1,123.0,-111.95,270.0,top
R1,119.21,-70.39,0.0,top
R2,121.0,-112.25,90.0,top
R3,120.21,-82.96,270.0,top
U1,118.21,-83.39,90.0,top
U2,118.21,-77.39,180.0,top
USB1,106.38,-77.07,270.0,top
